Ticker,Type,GapLow,GapHigh,Start,End,FID
AMD,bearish,193.5,199.1499938964844,2024-03-04,2024-03-18,AMD|bearish|2024-03-04|2024-03-18|193.500000|199.149994
AMD,bearish,203.5500030517578,208.22000122070312,2024-03-07,2024-03-11,AMD|bearish|2024-03-07|2024-03-11|203.550003|208.220001
AMD,bearish,202.8500061035156,205.6000061035156,2024-03-08,2024-03-12,AMD|bearish|2024-03-08|2024-03-12|202.850006|205.600006
AMD,bearish,182.67999267578125,188.0500030517578,2024-03-18,2024-03-20,AMD|bearish|2024-03-18|2024-03-20|182.679993|188.050003
AMD,bullish,86.13999938964844,90.12000274658205,2025-04-21,2025-04-23,AMD|bullish|2025-04-21|2025-04-23|86.139999|90.120003
AMD,bullish,87.16999816894531,90.37000274658205,2025-04-22,2025-04-24,AMD|bullish|2025-04-22|2025-04-24|87.169998|90.370003
AMD,bullish,100.0999984741211,106.9800033569336,2025-04-28,2025-05-12,AMD|bullish|2025-04-28|2025-05-12|100.099998|106.980003
AMD,bullish,97.5500030517578,98.3000030517578,2025-04-30,2025-05-02,AMD|bullish|2025-04-30|2025-05-02|97.550003|98.300003
AMD,bullish,105.44000244140624,107.66999816894533,2025-05-05,2025-05-19,AMD|bullish|2025-05-05|2025-05-19|105.440002|107.669998
AMD,bullish,100.06999969482422,101.55999755859376,2025-05-06,2025-05-08,AMD|bullish|2025-05-06|2025-05-08|100.070000|101.559998
AMD,bullish,105.44000244140624,106.9800033569336,2025-05-08,2025-05-12,AMD|bullish|2025-05-08|2025-05-12|105.440002|106.980003
AMD,bullish,103.54000091552734,109.0,2025-05-09,2025-05-13,AMD|bullish|2025-05-09|2025-05-13|103.540001|109.000000
AMD,bullish,112.11000061035156,113.27999877929688,2025-05-30,2025-06-03,AMD|bullish|2025-05-30|2025-06-03|112.110001|113.279999
AMD,bullish,114.86000061035156,115.7300033569336,2025-06-02,2025-06-04,AMD|bullish|2025-06-02|2025-06-04|114.860001|115.730003
AMD,bullish,124.47000122070312,126.81999969482422,2025-06-09,2025-06-23,AMD|bullish|2025-06-09|2025-06-23|124.470001|126.820000
AMD,bullish,117.87999725341795,126.58000183105467,2025-06-13,2025-06-17,AMD|bullish|2025-06-13|2025-06-17|117.879997|126.580002
AMD,bullish,132.80999755859375,135.1199951171875,2025-06-16,2025-06-30,AMD|bullish|2025-06-16|2025-06-30|132.809998|135.119995
AMD,bullish,132.80999755859375,132.92999267578125,2025-06-20,2025-06-24,AMD|bullish|2025-06-20|2025-06-24|132.809998|132.929993
AMD,bullish,133.25,139.4600067138672,2025-06-23,2025-06-25,AMD|bullish|2025-06-23|2025-06-25|133.250000|139.460007
AMD,bullish,137.44000244140625,137.58999633789062,2025-07-07,2025-07-09,AMD|bullish|2025-07-07|2025-07-09|137.440002|137.589996
AMD,bullish,147.39999389648438,149.33999633789062,2025-07-07,2025-07-21,AMD|bullish|2025-07-07|2025-07-21|147.399994|149.339996
AMD,bullish,139.14999389648438,141.85000610351562,2025-07-08,2025-07-10,AMD|bullish|2025-07-08|2025-07-10|139.149994|141.850006
AMD,bullish,140.64999389648438,141.60000610351562,2025-07-09,2025-07-11,AMD|bullish|2025-07-09|2025-07-11|140.649994|141.600006
AMD,bullish,147.39999389648438,153.55999755859375,2025-07-11,2025-07-15,AMD|bullish|2025-07-11|2025-07-15|147.399994|153.559998
AMD,bullish,147.5800018310547,152.85000610351562,2025-07-14,2025-07-16,AMD|bullish|2025-07-14|2025-07-16|147.580002|152.850006
AMD,bearish,178.8000030517578,179.55999755859375,2025-08-14,2025-08-18,AMD|bearish|2025-08-14|2025-08-18|178.800003|179.559998
AMD,bearish,173.1699981689453,176.25,2025-08-15,2025-08-19,AMD|bearish|2025-08-15|2025-08-19|173.169998|176.250000
AMD,bearish,166.64999389648438,174.36000061035156,2025-08-18,2025-08-20,AMD|bearish|2025-08-18|2025-08-20|166.649994|174.360001
AMD,bearish,156.66000366210938,161.72000122070312,2025-08-25,2025-09-08,AMD|bearish|2025-08-25|2025-09-08|156.660004|161.720001
AMD,bearish,162.38999938964844,166.64999389648438,2025-08-28,2025-09-02,AMD|bearish|2025-08-28|2025-09-02|162.389999|166.649994
AMD,bearish,157.13999938964844,160.5800018310547,2025-09-03,2025-09-05,AMD|bearish|2025-09-03|2025-09-05|157.139999|160.580002
AMD,bearish,152.63999938964844,157.7899932861328,2025-09-04,2025-09-08,AMD|bearish|2025-09-04|2025-09-08|152.639999|157.789993
AMZN,bullish,130.02000427246094,138.36000061035156,2023-10-23,2023-11-06,AMZN|bullish|2023-10-23|2023-11-06|130.020004|138.360001
AMZN,bullish,121.63999938964844,128.55999755859375,2023-10-26,2023-10-30,AMZN|bullish|2023-10-26|2023-10-30|121.639999|128.559998
AMZN,bullish,130.02000427246094,131.7100067138672,2023-10-27,2023-10-31,AMZN|bullish|2023-10-27|2023-10-31|130.020004|131.710007
AMZN,bullish,133.0,133.7100067138672,2023-10-30,2023-11-01,AMZN|bullish|2023-10-30|2023-11-01|133.000000|133.710007
AMZN,bullish,139.49000549316406,139.52000427246094,2023-10-30,2023-11-13,AMZN|bullish|2023-10-30|2023-11-13|139.490005|139.520004
AMZN,bullish,133.57000732421875,136.47000122070312,2023-10-31,2023-11-02,AMZN|bullish|2023-10-31|2023-11-02|133.570007|136.470001
AMZN,bullish,137.35000610351562,137.4499969482422,2023-11-01,2023-11-03,AMZN|bullish|2023-11-01|2023-11-03|137.350006|137.449997
AMZN,bullish,139.49000549316406,140.5,2023-11-03,2023-11-07,AMZN|bullish|2023-11-03|2023-11-07|139.490005|140.500000
AMZN,bullish,143.32000732421875,144.72999572753906,2023-11-16,2023-11-20,AMZN|bullish|2023-11-16|2023-11-20|143.320007|144.729996
AMZN,bullish,144.0500030517578,145.32000732421875,2023-11-21,2023-11-24,AMZN|bullish|2023-11-21|2023-11-24|144.050003|145.320007
AMZN,bullish,146.58999633789062,148.2100067138672,2024-01-05,2024-01-09,AMZN|bullish|2024-01-05|2024-01-09|146.589996|148.210007
AMZN,bullish,149.39999389648438,151.8800048828125,2024-01-08,2024-01-10,AMZN|bullish|2024-01-08|2024-01-10|149.399994|151.880005
AMZN,bullish,151.7100067138672,153.1199951171875,2024-01-09,2024-01-11,AMZN|bullish|2024-01-09|2024-01-11|151.710007|153.119995
AMZN,bullish,152.14999389648438,152.74000549316406,2024-01-17,2024-01-19,AMZN|bullish|2024-01-17|2024-01-19|152.149994|152.740005
AMZN,bullish,153.77999877929688,153.89999389648438,2024-01-18,2024-01-22,AMZN|bullish|2024-01-18|2024-01-22|153.779999|153.899994
AMZN,bullish,160.72000122070312,167.64999389648438,2024-01-22,2024-02-05,AMZN|bullish|2024-01-22|2024-02-05|160.720001|167.649994
AMZN,bullish,159.00999450683594,167.3300018310547,2024-01-31,2024-02-02,AMZN|bullish|2024-01-31|2024-02-02|159.009995|167.330002
AMZN,bullish,159.75999450683594,167.6999969482422,2024-02-01,2024-02-05,AMZN|bullish|2024-02-01|2024-02-05|159.759995|167.699997
AMZN,bullish,169.60000610351562,180.19000244140625,2025-04-21,2025-04-23,AMZN|bullish|2025-04-21|2025-04-23|169.600006|180.190002
AMZN,bullish,176.77999877929688,180.17999267578125,2025-04-22,2025-04-24,AMZN|bullish|2025-04-22|2025-04-24|176.779999|180.179993
AMZN,bullish,192.8800048828125,202.6699981689453,2025-04-28,2025-05-12,AMZN|bullish|2025-04-28|2025-05-12|192.880005|202.669998
AMZN,bullish,194.69000244140625,197.8500061035156,2025-05-05,2025-05-19,AMZN|bullish|2025-05-05|2025-05-19|194.690002|197.850006
AMZN,bullish,187.92999267578125,188.82000732421875,2025-05-06,2025-05-08,AMZN|bullish|2025-05-06|2025-05-08|187.929993|188.820007
AMZN,bullish,190.9900054931641,191.1600036621093,2025-05-07,2025-05-09,AMZN|bullish|2025-05-07|2025-05-09|190.990005|191.160004
AMZN,bullish,194.3300018310547,205.75,2025-05-08,2025-05-12,AMZN|bullish|2025-05-08|2025-05-12|194.330002|205.750000
AMZN,bullish,194.69000244140625,210.1000061035156,2025-05-09,2025-05-13,AMZN|bullish|2025-05-09|2025-05-13|194.690002|210.100006
AMZN,bullish,202.3699951171875,204.4100036621093,2025-05-23,2025-05-28,AMZN|bullish|2025-05-23|2025-05-28|202.369995|204.410004
